15
7
15
0,12
6,5
14,8
0,6
1,1
11,9
14,13
2,11
1,14
11,13
13,7
7,14
6,12
5,10
14,11
3,3
9,0
5,1
14,2
12,8
3,5
11,9
0,4
3,11
5,1
4,13
11,1
14,14
8,1
5,3
5,5
11,3
5,13
5,12
10,10
13,11
6,11
13,8
12,13
4,1
2,0
5,1
10,4
10,0
0,7
6,1
13,7
14,6
3,12
0,7
11,9
12,8
4,6
3,8
13,6
4,7
8,11
1,7
14,3
11,11
13,10
1,2
5,2
6,0
7,9
14,4
11,2
1,7
5,3
14,4
2,0
12,3
7,5
9,4
14,13
5,6
8,3
13,4
3,9
10,12
4,5
4,12
2,14
13,6
2,4
2,2
7,5
14,7
12,4
13,5
1,12
6,0
0,8
10,7
8,12
1,4
3,11
3,6
14,1
11,9
8,13
5,14
13,12
9,5
4,4
9,9
12,1
13,7
4,1
4,0
4,6
6,8
14,12
3,9
12,7
1,7
6,10
9,3
5,0
2,13
1,2
9,10
14,13
8,0
10,11
6,1
0,0
11,6
10,9
0,7
10,4
4,2
9,2
11,9
13,12
2,7
6,13
3,14
13,8
11,5
1,7
12,9
8,12
7,6
5,8
12,7
5,8
0,7
13,10
6,8
4,3
14,9
9,9
13,13
0,0
11,3
0,10
7,5
6,12
14,12
13,12
2,10
3,5
8,8
8,4
6,7
10,11
11,11
5,10
3,5
12,14
6,14
4,7
11,6
14,14
11,5
11,3
12,8
6,10
5,6
10,4
13,6
8,5
10,6
11,8
11,7
3,9
0,8
8,8
6,5
3,3
4,11
11,14
8,3
4,6
5,5
12,4
2,5
3,13
12,5
7,7
9,0
11,11
14,9
11,12
8,2
7,6
0,12
3,10
5,5
13,12
6,0
0,7
0,9
9,11
1,13
12,9
7,5
1,11
10,10
8,12
0,6
13,6
14,6
0,14
3,4
3,6
4,3
3,10
10,0
7,14
5,4
3,8
10,2
2,2
13,6
13,7
5,11
6,14
11,13
12,1
2,8
4,8
8,5
2,12
7,4
3,5
13,12
12,8
12,13
0,14
12,4
14,5
7,12
14,10
5,9
10,0
7,4
13,4
5,7
5,8
6,9
10,2
6,0
0,0
3,0
10,10
9,6
0,3
9,12
4,5
10,4
2,2
5,9
9,9
14,4
4,6
7,7
9,9
1,5
11,6
4,3
12,14
1,7
8,14
1,8
4,1
9,1
0,3
10,10
9,6
11,5
5,12
13,2
0,1
12,5
1,7
14,6
10,3
0,8
